caller_project_id,caller_class_id,caller_method_id,CALL_DIRECTION,callee_project_id,callee_class_id,callee_method_id
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,8046dfc5-c287-4f26-9375-3fd151009843,ba4fd314-723d-42bc-b2c2-655cb03dedb9,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,javax/swing/SwingUtilities.java,invokeLater
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,74921fad-87eb-4545-a034-a77ba7688b8f,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,net/sonkin/AdminFrame.java,setSize
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,74921fad-87eb-4545-a034-a77ba7688b8f,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,net/sonkin/AdminFrame.java,setResizable
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,74921fad-87eb-4545-a034-a77ba7688b8f,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,net/sonkin/AdminFrame.java,setLocationRelativeTo
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,74921fad-87eb-4545-a034-a77ba7688b8f,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,net/sonkin/AdminFrame.java,setDefaultCloseOperation
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,74921fad-87eb-4545-a034-a77ba7688b8f,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,net/sonkin/AdminFrame.java,setVisible
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,74921fad-87eb-4545-a034-a77ba7688b8f,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,net/sonkin/AdminFrame.java,add
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,74921fad-87eb-4545-a034-a77ba7688b8f,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,b92abc3c-612b-4f01-b558-0dfd92be1ecb
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,b92abc3c-612b-4f01-b558-0dfd92be1ecb,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,java/lang/StringBuilder.java,append
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,b92abc3c-612b-4f01-b558-0dfd92be1ecb,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,683a7eb2-049d-4d47-9359-45288c35425c,8e5f7345-1fa8-48d3-909a-28da2e477802
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,b92abc3c-612b-4f01-b558-0dfd92be1ecb,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,java/lang/StringBuilder.java,append
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,b92abc3c-612b-4f01-b558-0dfd92be1ecb,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,java/lang/StringBuilder.java,append
7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,ca30c56f-f746-4ee8-9e4e-437ca3f5e357,b92abc3c-612b-4f01-b558-0dfd92be1ecb,->,7680f1e2-9fe7-4fd9-a3af-ffa41b47d659,java/lang/StringBuilder.java,toString
