project_id,project_name,project_path
45410069-e58f-4214-a22d-54579b8501b7,bragggf-testcase,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/bragggf-testcase/
a4d054f6-0b62-48d6-a9e0-af94b0f75aa5,tokiha0s-2014GameProject,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/tokiha0s-2014GameProject/
a18aa329-1ff8-4458-9dd0-4ed0d54844fd,ascent95-Uni,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/ascent95-Uni/
cfe3c3c7-79cf-49ae-a14a-7e2740e322eb,nathaliasantos-desafio3,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/nathaliasantos-desafio3/
b8133cb2-0e41-468b-b85d-54f11a527a0b,xndingo-Melqart,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/xndingo-Melqart/
6de59384-daed-4838-ab53-0a4f9db5c90b,ag3859-computer-graphics,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/ag3859-computer-graphics/
906abd61-b7a4-4ab6-9f72-38ceff674620,digitalstain-BigDataImport,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/digitalstain-BigDataImport/
5fbcfde7-0018-44fc-a5d0-f4ded035454b,gasproni-joker,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/gasproni-joker/
6e440c8f-99e1-4f20-b00a-9bebe0e18fec,jamlong-abctech-pulsimport,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/jamlong-abctech-pulsimport/
265bee2a-557c-4114-9a5d-9f97c86f86a2,GCVSoftwareEng-VokabeltrainerRepository,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/GCVSoftwareEng-VokabeltrainerRepository/
1b557c80-f4a0-46ed-91a8-efd9b0117144,mduffenais-FPOSS,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/mduffenais-FPOSS/
817225c1-ee93-439a-b8c7-16bfaaea1573,jcvl92-Show-Tracker,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/jcvl92-Show-Tracker/
ca10d166-ee90-4eab-8637-75b2a5b4ee45,RevaArora-Tutorials,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/RevaArora-Tutorials/
dc2c9215-0fb5-4d13-8763-b536f7b2eed4,jurem-VisitorFun,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/jurem-VisitorFun/
99adacc2-f213-4dee-a1e3-4b8f38ed07f3,and3k5-Matador,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/and3k5-Matador/
cb2346a4-b7eb-453e-bd3e-c0008321d83e,KraiZeur-library,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/KraiZeur-library/
be03be65-d797-48c0-b9a8-81e89e9ab529,cororok-dynamic-query,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/cororok-dynamic-query/
1a06bfe7-69ef-4693-a686-32cba2714c9d,lindaw16-Battlecode2014,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/lindaw16-Battlecode2014/
34d39fba-0cfe-4b2d-8932-a8a28ab2bf0a,JianbaoTao-coding-problems,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/JianbaoTao-coding-problems/
497dce42-003f-4565-8195-c2453a1baa93,Azael05x-Prog,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/Azael05x-Prog/
c18f16e2-7850-4757-89a2-7f38145ef868,mpatron-dbimp,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/mpatron-dbimp/
113c5414-6c55-466b-b879-a350ab6e0ca2,apepers-599-roguelike,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/apepers-599-roguelike/
ad0a2aad-9ad8-443c-832f-88b9f64460ed,FRC4814-AerialAssist,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/FRC4814-AerialAssist/
d217bc73-0079-4894-9018-0c4457f9086b,damienlsq-ziwei,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/damienlsq-ziwei/
1bc80630-8262-4e6f-bb4d-e75e037d8941,yadarts-yadarts,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/yadarts-yadarts/
41cc1b1e-dcde-4b50-b6ec-86de8ffd1400,SpareRips-Productions-Mensch-aergere-dich-nicht,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/SpareRips-Productions-Mensch-aergere-dich-nicht/
7ba08db6-41aa-40b7-bef0-5a067a931e64,clubcapra-SmartMotorLib,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/clubcapra-SmartMotorLib/
5d047760-534a-43c8-bee0-796119262d8d,ChicoSystems-Space-Game,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/ChicoSystems-Space-Game/
1009e5b6-4e1e-452b-8590-c55ea38dd88e,taolei87-SRLParser,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/taolei87-SRLParser/
7065aa7c-27ae-48fb-a30f-9d481937337a,mcintyret-rdbmstm,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/mcintyret-rdbmstm/
dd6f6b5f-1f2a-4e44-879d-706467bb87dd,facundoduran-Java,/Volumes/KCORP-4TB/50PLUS_DATASET/projects/facundoduran-Java/
